country,train_mse,train_r2,test_mse,test_r2,train_pearson,test_pearson
Northern Ireland,0.008783437636149503,0.9729049161650716,0.009052109921180131,0.9699958628016839,0.9863594254454465,0.9849649880165703
England,0.01825102779198995,0.9485881325701871,0.018431353934843783,0.9475894481617406,0.9739548924720217,0.9734464002790182
Ireland,0.020673175506910033,0.9557059058676076,0.022269225543546448,0.9541222268640996,0.9776021204291688,0.9767919225511497
Serbia,0.023520056291617096,0.951351154349003,0.023317548520594925,0.9492310326055056,0.9753723157589631,0.9742871125730175
Spain,0.023237911969977116,0.9563291284188576,0.023453967706897748,0.9559755841288777,0.9779208190947044,0.9777405794696281
Romania,0.006198629179758606,0.982816207078745,0.005231047061186109,0.9844579951720499,0.9913708726196999,0.9921987456607204
Australia,0.017161786157143078,0.9712193485904452,0.017034688148362752,0.9713852024681188,0.9855046162197542,0.9855893002640456
Canada,0.013962789116146856,0.9706020764825152,0.014024205426502335,0.9704330188510507,0.9851913907878584,0.9851058926709579
Austria,0.01131402389620526,0.9666039330935077,0.011719499473055998,0.9669002407903196,0.9831601767227494,0.983324115615464
Switzerland,0.015386751624212616,0.9688269139666316,0.015177745897082373,0.969737353386578,0.9842900558100907,0.9847540143780015
Slovenia,0.018617472657199804,0.9684922648099396,0.018971304879845767,0.9689579818522108,0.9841200459344072,0.9843587019679534
Sweden,0.01823616782566175,0.9598540687356356,0.018259788533852822,0.9599126424876895,0.9797214240464662,0.9797514746787808
Germany,0.023142543620965492,0.9462465258009237,0.023357311458501104,0.9453270433067331,0.9727520371610248,0.9722821094425248
France,0.016689345566547165,0.968071116620428,0.016450916156086248,0.9689481856904951,0.9839060507083122,0.9843534985250351
South Africa,0.03788473472579861,0.9521001302774241,0.04327256259422609,0.9422084913364025,0.9757561838274069,0.9707176886733836
Scotland,0.014743375716614103,0.9483430039341464,0.014961355361574055,0.9473234854981596,0.9738290424577338,0.9733108636268737
Denmark,0.014095600118098496,0.9666345194043058,0.013936540818926674,0.9669051753299549,0.9831757317002418,0.9833134880878226
Hong Kong,0.021987915730679326,0.9647658529817678,0.02364064127036134,0.9608121506926344,0.9822249502948741,0.9802671418901752
Italy,0.021846704003984044,0.9522301209809078,0.022196750695523255,0.9509201685291282,0.9758227917920895,0.9751561758984061
Russia,0.014178734947953242,0.9743036354854598,0.013399558717011135,0.9756930773416584,0.9870682020435364,0.9877729047832497
